Query, Refcode,DIST1 
3,AGADIW,2.279
3,AGADIW,1.911
3,AGADIW,1.971
3,AGADIW,2.006
3,AGADIW,1.854
3,AGADOC,2.280
3,AGADOC,1.950
3,AGADOC,1.932
3,AGADOC,1.875
3,AGADOC,2.339
3,AGADOC,1.846
3,AGADUI,2.233
3,AGADUI,1.872
3,AGADUI,1.927
3,AGADUI,2.168
3,AGADUI,2.259
3,AGADUI,1.875
3,AGAFAQ,1.892
3,AGAFAQ,2.287
3,AGAFAQ,1.969
3,AGAFAQ,1.862
3,AGAFAQ,2.174
3,AGAFAQ,2.313
3,AGAFEU,1.920
3,AGAFEU,1.979
3,AGAFEU,2.191
3,AGAFEU,1.853
3,AGAFEU,2.066
3,AGAFEU,2.403
3,AGAFIY,1.939
3,AGAFIY,2.172
3,AGAFIY,2.018
3,AGAFIY,1.916
3,AGAFIY,1.924
3,AGAFOE,1.925
3,AGAFOE,2.273
3,AGAFOE,1.915
3,AGAFOE,1.885
3,AGAFOE,2.417
3,AGAGIZ,2.107
3,AGAGIZ,2.056
3,AGAGIZ01,2.064
3,AGAGIZ01,2.131
3,AGANOM,2.195
3,AGANOM,2.114
3,AGANOM,2.198
3,AGANOM,2.070
3,AGANOM,2.149
3,AGANOM,2.173
3,AGAYEN,2.136
3,AGEFEX,2.142
3,AGEFEX,2.211
3,AGEFEX,2.183
3,AGEFEX,2.184
3,AGEFEX,2.155
3,AGEFEX,2.167
3,AGIDAV,1.972
3,AGIDAV,2.017
3,AGIDAV,1.923
3,AGIDOJ,2.101
3,AGIDOJ,2.089
3,AGIDOJ,2.109
3,AGIDOJ,2.136
3,AGIFEB,2.198
3,AGIFEB,2.194
3,AGIFEB,2.177
3,AGIFEB,2.149
3,AGIZOG,2.270
3,AGIZOG,2.266
3,AGIZOG,2.233
3,AGIZOG,2.273
3,AGIZOG,1.963
3,AGIZOG,1.859
3,AGIZOG,1.880
3,AGIZOG,1.896
3,AGIZOG,1.951
3,AGIZOG,1.856
3,AGIZUM,2.221
3,AGIZUM,2.257
3,AGIZUM,2.201
3,AGIZUM,2.231
3,AGIZUM,1.965
3,AGIZUM,1.887
3,AGIZUM,1.964
3,AGIZUM,1.888
3,AGIZUM,1.978
3,AGIZUM,1.923
3,AGLCMN,2.218
3,AGLCMN,2.107
3,AGLCMN,2.150
3,AGLCMN,2.205
3,AGLCMN,2.118
3,AGLCMN,2.134
3,AGLCMN01,2.183
3,AGLCMN01,2.207
3,AGLCMN01,2.249
3,AGLCMN01,2.132
3,AGLCMN01,2.130
3,AGLCMN01,2.165
3,AGLYMN,2.219
3,AGLYMN,2.163
3,AGLYMN,2.207
3,AGLYMN,2.178
3,AGLYMN01,2.208
3,AGLYMN01,2.139
3,AGLYMN01,2.147
3,AGLYMN01,2.156
3,AGORAQ,2.248
3,AGORAQ,2.240
3,AGORAQ,2.062
3,AGORAQ,2.119
3,AGORAQ,2.175
3,AGORAQ,2.225
3,AGOWEZ,2.171
3,AGOWEZ,2.292
3,AGOWEZ,2.122
3,AGOWEZ,2.118
3,AGOZAY,2.140
3,AGOZAY,2.124
3,AGOZAY,2.185
3,AGOZAY,2.196
3,AGOZAY,2.459
3,AGUBAF,2.270
3,AGUBAF,2.132
3,AGUBAF,2.115
3,AGUBAF01,2.266
3,AGUBAF01,2.079
3,AGUBAF01,2.100
3,AGUBIN,2.158
3,AGUBIN,2.163
3,AGUBIN,2.139
3,AGUBIN,2.197
3,AGUBIN,2.211
3,AGUBIN,2.160
3,AGUJER,2.099
3,AGUJER,2.099
3,AGUJIV,1.770
3,AGUJIV,1.983
3,AGUJIV,1.803
3,AGUJIV,1.951
3,AGUJOB,1.834
3,AGUJOB,1.859
